<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[11/05/2017 13:48:23] >> Logger created
[11/05/2017 13:48:24] >> Abstraction
[11/05/2017 13:48:24] >> === Experiment #0 ===
[11/05/2017 13:48:24] >> ex0ep100 mean: 3329.63
[11/05/2017 13:48:25] >> ex0ep200 mean: 4367.66
[11/05/2017 13:48:25] >> ex0ep300 mean: 4440.25
[11/05/2017 13:48:26] >> ex0ep400 mean: 4517.25
[11/05/2017 13:48:27] >> ex0ep500 mean: 4406.42
[11/05/2017 13:48:27] >> ex0ep600 mean: 4558.97
[11/05/2017 13:48:28] >> ex0ep700 mean: 4583.72
[11/05/2017 13:48:28] >> ex0ep800 mean: 4554.17
[11/05/2017 13:48:29] >> ex0ep900 mean: 4443.52
[11/05/2017 13:48:30] >> ex0ep1000 mean: 4463.98
[11/05/2017 13:48:30] >> ex0ep1100 mean: 4551.16
