<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<!DOCTYPE log SYSTEM "logger.dtd">
<log>
</log>
[15/05/2017 17:15:26] >> Logger created
[15/05/2017 17:15:26] >> Similarities
[15/05/2017 17:15:26] >> === Experiment #0 ===
[15/05/2017 17:15:27] >> ex0ep100 mean: 2408.17
[15/05/2017 17:15:27] >> ex0ep200 mean: 2643.19
[15/05/2017 17:15:27] >> ex0ep300 mean: 2476.4
[15/05/2017 17:15:28] >> ex0ep400 mean: 2640.26
[15/05/2017 17:15:28] >> ex0ep500 mean: 2724.32
[15/05/2017 17:15:28] >> ex0ep600 mean: 2469.79
[15/05/2017 17:15:28] >> ex0ep700 mean: 2363.53
[15/05/2017 17:15:28] >> ex0ep800 mean: 2595.59
[15/05/2017 17:15:29] >> ex0ep900 mean: 1920.38
[15/05/2017 17:15:29] >> ex0ep1000 mean: 2343.58
[15/05/2017 17:15:29] >> ex0ep1100 mean: 2111.27
[15/05/2017 17:15:29] >> ex0ep1200 mean: 2389.89
[15/05/2017 17:15:29] >> ex0ep1300 mean: 2163.29
[15/05/2017 17:15:30] >> ex0ep1400 mean: 2354.66
[15/05/2017 17:15:30] >> ex0ep1500 mean: 2044.51
[15/05/2017 17:15:30] >> ex0ep1600 mean: 2132.54
[15/05/2017 17:15:30] >> ex0ep1700 mean: 2429.54
[15/05/2017 17:15:30] >> ex0ep1800 mean: 2355.61
[15/05/2017 17:15:30] >> ex0ep1900 mean: 2284.77
[15/05/2017 17:15:31] >> ex0ep2000 mean: 2075.99
[15/05/2017 17:15:31] >> ex0ep2100 mean: 2520.24
[15/05/2017 17:15:31] >> ex0ep2200 mean: 2116.85
[15/05/2017 17:15:31] >> ex0ep2300 mean: 2073.65
[15/05/2017 17:15:31] >> ex0ep2400 mean: 2113.33
[15/05/2017 17:15:32] >> ex0ep2500 mean: 1804.89
[15/05/2017 17:15:32] >> ex0ep2600 mean: 1952.98
[15/05/2017 17:15:32] >> ex0ep2700 mean: 2035.25
[15/05/2017 17:15:32] >> ex0ep2800 mean: 1895.22
[15/05/2017 17:15:32] >> ex0ep2900 mean: 2011.42
[15/05/2017 17:15:32] >> ex0ep3000 mean: 2153.58
[15/05/2017 17:15:33] >> ex0ep3100 mean: 1933.52
[15/05/2017 17:15:33] >> ex0ep3200 mean: 1890.79
[15/05/2017 17:15:33] >> ex0ep3300 mean: 1986.86
[15/05/2017 17:15:33] >> ex0ep3400 mean: 1845.32
[15/05/2017 17:15:33] >> ex0ep3500 mean: 1714.32
[15/05/2017 17:15:33] >> ex0ep3600 mean: 1899.75
[15/05/2017 17:15:33] >> ex0ep3700 mean: 2066.88
[15/05/2017 17:15:34] >> ex0ep3800 mean: 1876.14
[15/05/2017 17:15:34] >> ex0ep3900 mean: 1798.87
[15/05/2017 17:15:34] >> ex0ep4000 mean: 1593.8
[15/05/2017 17:15:34] >> ex0ep4100 mean: 1681.55
[15/05/2017 17:15:34] >> ex0ep4200 mean: 1619.44
[15/05/2017 17:15:34] >> ex0ep4300 mean: 1603.76
[15/05/2017 17:15:34] >> ex0ep4400 mean: 1692.71
[15/05/2017 17:15:35] >> ex0ep4500 mean: 1616.87
[15/05/2017 17:15:35] >> ex0ep4600 mean: 1646.15
[15/05/2017 17:15:35] >> ex0ep4700 mean: 1510.19
[15/05/2017 17:15:35] >> ex0ep4800 mean: 1643.55
[15/05/2017 17:15:35] >> ex0ep4900 mean: 1523.77
[15/05/2017 17:15:35] >> ex0ep5000 mean: 1496.28
[15/05/2017 17:15:35] >> ex0ep5100 mean: 1670.9
[15/05/2017 17:15:35] >> ex0ep5200 mean: 1612.27
[15/05/2017 17:15:36] >> ex0ep5300 mean: 1539.31
[15/05/2017 17:15:36] >> ex0ep5400 mean: 1821.96
[15/05/2017 17:15:36] >> ex0ep5500 mean: 1296.95
[15/05/2017 17:15:36] >> ex0ep5600 mean: 1523.91
[15/05/2017 17:15:36] >> ex0ep5700 mean: 1587.12
[15/05/2017 17:15:36] >> ex0ep5800 mean: 1403.04
[15/05/2017 17:15:36] >> ex0ep5900 mean: 1477.34
[15/05/2017 17:15:37] >> ex0ep6000 mean: 1627.32
[15/05/2017 17:15:37] >> ex0ep6100 mean: 1393.94
[15/05/2017 17:15:37] >> ex0ep6200 mean: 1552.37
[15/05/2017 17:15:37] >> ex0ep6300 mean: 1217.45
[15/05/2017 17:15:37] >> ex0ep6400 mean: 1707.33
[15/05/2017 17:15:37] >> ex0ep6500 mean: 1401.41
[15/05/2017 17:15:37] >> ex0ep6600 mean: 1457.39
[15/05/2017 17:15:37] >> ex0ep6700 mean: 1264.18
[15/05/2017 17:15:37] >> ex0ep6800 mean: 1451.46
[15/05/2017 17:15:38] >> ex0ep6900 mean: 1305.1
[15/05/2017 17:15:38] >> ex0ep7000 mean: 1356.32
[15/05/2017 17:15:38] >> ex0ep7100 mean: 1460.12
[15/05/2017 17:15:38] >> ex0ep7200 mean: 1033.81
[15/05/2017 17:15:38] >> ex0ep7300 mean: 1189.45
[15/05/2017 17:15:38] >> ex0ep7400 mean: 1174.83
[15/05/2017 17:15:38] >> ex0ep7500 mean: 1304.48
[15/05/2017 17:15:38] >> ex0ep7600 mean: 1219.74
[15/05/2017 17:15:38] >> ex0ep7700 mean: 1143.76
[15/05/2017 17:15:38] >> ex0ep7800 mean: 1008.88
[15/05/2017 17:15:39] >> ex0ep7900 mean: 1075.14
[15/05/2017 17:15:39] >> ex0ep8000 mean: 1590.3
[15/05/2017 17:15:39] >> ex0ep8100 mean: 1363.7
[15/05/2017 17:15:39] >> ex0ep8200 mean: 1215.2
[15/05/2017 17:15:39] >> ex0ep8300 mean: 1373.27
[15/05/2017 17:15:39] >> ex0ep8400 mean: 1000.27
[15/05/2017 17:15:39] >> ex0ep8500 mean: 1276.29
[15/05/2017 17:15:39] >> ex0ep8600 mean: 1180.94
[15/05/2017 17:15:39] >> ex0ep8700 mean: 1148.39
[15/05/2017 17:15:39] >> ex0ep8800 mean: 1165.16
[15/05/2017 17:15:40] >> ex0ep8900 mean: 1089.62
[15/05/2017 17:15:40] >> ex0ep9000 mean: 1062.5
[15/05/2017 17:15:40] >> ex0ep9100 mean: 1157.98
[15/05/2017 17:15:40] >> ex0ep9200 mean: 1047.73
[15/05/2017 17:15:40] >> ex0ep9300 mean: 1150.19
[15/05/2017 17:15:40] >> ex0ep9400 mean: 1076.28
[15/05/2017 17:15:40] >> ex0ep9500 mean: 1139.67
[15/05/2017 17:15:40] >> ex0ep9600 mean: 1206.73
[15/05/2017 17:15:40] >> ex0ep9700 mean: 1170.01
[15/05/2017 17:15:40] >> ex0ep9800 mean: 1130.42
[15/05/2017 17:15:40] >> ex0ep9900 mean: 903.8
[15/05/2017 17:15:41] >> ex0ep10000 mean: 1227.85
[15/05/2017 17:15:41] >> ex0ep10100 mean: 1092.36
[15/05/2017 17:15:41] >> ex0ep10200 mean: 1112.85
[15/05/2017 17:15:41] >> ex0ep10300 mean: 1073.9
[15/05/2017 17:15:41] >> ex0ep10400 mean: 1101.1
[15/05/2017 17:15:41] >> ex0ep10500 mean: 1196.22
[15/05/2017 17:15:41] >> ex0ep10600 mean: 1000.03
[15/05/2017 17:15:41] >> ex0ep10700 mean: 861.05
[15/05/2017 17:15:41] >> ex0ep10800 mean: 1006.11
[15/05/2017 17:15:41] >> ex0ep10900 mean: 963.98
[15/05/2017 17:15:41] >> ex0ep11000 mean: 1125.3
[15/05/2017 17:15:42] >> ex0ep11100 mean: 1123.28
[15/05/2017 17:15:42] >> ex0ep11200 mean: 886.46
[15/05/2017 17:15:42] >> ex0ep11300 mean: 902.39
[15/05/2017 17:15:42] >> ex0ep11400 mean: 783.02
[15/05/2017 17:15:42] >> ex0ep11500 mean: 890.28
[15/05/2017 17:15:42] >> ex0ep11600 mean: 925.74
[15/05/2017 17:15:42] >> ex0ep11700 mean: 885.54
[15/05/2017 17:15:42] >> ex0ep11800 mean: 770.19
[15/05/2017 17:15:42] >> ex0ep11900 mean: 966.11
[15/05/2017 17:15:42] >> ex0ep12000 mean: 912.8
[15/05/2017 17:15:42] >> ex0ep12100 mean: 768.93
[15/05/2017 17:15:42] >> ex0ep12200 mean: 1030.16
[15/05/2017 17:15:42] >> ex0ep12300 mean: 907.96
[15/05/2017 17:15:43] >> ex0ep12400 mean: 934.83
[15/05/2017 17:15:43] >> ex0ep12500 mean: 841.9
[15/05/2017 17:15:43] >> ex0ep12600 mean: 819.7
[15/05/2017 17:15:43] >> ex0ep12700 mean: 854.06
[15/05/2017 17:15:43] >> ex0ep12800 mean: 976.56
[15/05/2017 17:15:43] >> ex0ep12900 mean: 730.04
[15/05/2017 17:15:43] >> ex0ep13000 mean: 794.36
[15/05/2017 17:15:43] >> ex0ep13100 mean: 761.36
[15/05/2017 17:15:43] >> ex0ep13200 mean: 922.83
[15/05/2017 17:15:43] >> ex0ep13300 mean: 799.55
[15/05/2017 17:15:43] >> ex0ep13400 mean: 706.37
[15/05/2017 17:15:43] >> ex0ep13500 mean: 859.48
[15/05/2017 17:15:43] >> ex0ep13600 mean: 761.38
